Profiles;Loc-PG1-0001;Loc-PG1-0103;Loc-PG1-0287;Loc-PG1-0431;Loc-PG1-0489;Loc-PG1-0523;Loc-PG1-0710;Loc-PG1-0827
A00;1;2;1;1;2;1;1;1
A01;5;2;1;1;2;1;1;1
A02;1;3;1;1;2;1;1;1
A03;1;3;1;1;2;1;1;2
A04;4;3;1;1;2;1;1;1
A05;1;1;1;1;2;1;1;1
A06;1;1;1;1;3;1;1;1
A07;1;2;4;1;2;1;1;1
A08;2;2;4;1;2;1;1;1
A09;1;2;4;1;4;1;1;1
A10;1;2;4;1;2;2;1;1
A11;2;2;4;1;2;2;1;1
A12;3;2;4;1;2;2;1;1
B01;1;3;1;1;4;3;2;1
B02;1;2;1;1;4;3;2;1
B03;1;2;1;5;4;3;2;1
B04;1;4;1;1;4;3;2;1
B05;1;3;1;5;4;3;2;1
B06;1;3;1;1;4;3;1;1
B07;1;5;1;1;4;3;1;1
C01;1;2;1;1;5;5;2;2
C02;1;2;1;2;5;5;2;2
C03;1;2;1;1;5;3;2;2
D01;4;2;1;1;4;3;1;1
D02;4;2;1;1;4;3;1;2
E01;3;2;1;1;1;1;1;1
E02;3;3;1;1;1;1;1;1
F01;1;2;5;6;6;3;2;2
G01;6;1;3;4;4;4;2;3
H01;4;1;2;1;1;1;1;1
I01;1;2;1;3;4;1;1;1
A13;2;2;1;1;2;1;1;1
A14;2;4;1;1;2;1;1;1
